iter	Logloss
0	0.4104890664
1	0.2799008526
2	0.1961294311
3	0.1486102309
4	0.1236061279
5	0.1026001193
6	0.09058119344
7	0.08025985046
8	0.07426958717
9	0.06993660871
10	0.06516777761
11	0.06132954499
12	0.05903861211
13	0.05552572702
14	0.05383713118
15	0.05212358488
16	0.04977507382
17	0.04835349222
18	0.04691675971
19	0.04590632863
20	0.04466387092
21	0.0435033527
22	0.0429181475
23	0.04240736212
24	0.04141367898
25	0.04071114264
26	0.03999070709
27	0.03952966
28	0.03893752694
29	0.03850535542
30	0.03815959666
31	0.03756807327
32	0.03709978203
33	0.03678647831
34	0.03617623405
35	0.03578643226
36	0.03521560525
37	0.03489569873
38	0.03453505607
39	0.03406691203
40	0.03386759431
41	0.03358258438
42	0.03336052367
43	0.03312202018
44	0.03274361777
45	0.03234802566
46	0.03200470464
47	0.03166154193
48	0.0312865857
49	0.03110984096
50	0.03071737223
51	0.03043240384
52	0.03012497844
53	0.02999843515
54	0.0297205954
55	0.02957837457
56	0.02938885615
57	0.02903144418
58	0.0287041021
59	0.02843844031
60	0.02826653888
61	0.02810848652
62	0.02790681896
63	0.02770548377
64	0.02741162436
65	0.02731753594
66	0.02707661625
67	0.02697805064
68	0.02669228177
69	0.0264835316
70	0.0263389775
71	0.02615158353
72	0.02599835741
73	0.02576665656
74	0.02550304812
75	0.02530686318
76	0.02513204013
77	0.025004246
78	0.02484974148
79	0.02470048302
80	0.02448211014
81	0.02430909198
82	0.02415555044
83	0.02399721198
84	0.02372214121
85	0.02349267909
86	0.02334390284
87	0.02315009751
88	0.02301536926
89	0.02282536584
90	0.02266061225
91	0.02253525985
92	0.02236148983
93	0.02226461562
94	0.02215558808
95	0.02204401928
96	0.02186938066
97	0.02181482717
98	0.02170445832
99	0.02156663697
100	0.02146911356
101	0.02131710674
102	0.0211580964
103	0.0209864198
104	0.02085663869
105	0.02073463482
106	0.02062317831
107	0.02051630796
108	0.0203447912
109	0.02028319718
110	0.02017987246
111	0.02002061596
112	0.01997452887
113	0.01987015859
114	0.01978465685
115	0.01972766393
116	0.01954377087
117	0.01941470355
118	0.01933462414
119	0.01918975449
120	0.01910315008
121	0.01899877895
122	0.01892864714
123	0.01882157905
124	0.01875546762
125	0.01864243824
126	0.01856652298
127	0.01845636933
128	0.01840771402
129	0.01832052117
130	0.01822217083
131	0.01817854457
132	0.01808787089
133	0.01789360818
134	0.01778748065
135	0.01770954441
136	0.0176648403
137	0.01754566287
138	0.0175360678
139	0.01742166752
140	0.01735454213
141	0.01730153121
142	0.01725208184
143	0.01709011964
144	0.01698268686
145	0.01692087877
146	0.01686094129
147	0.01670401329
148	0.01660605916
149	0.01651434014
150	0.01638054317
151	0.0163088773
152	0.01620157502
153	0.0161450752
154	0.01611109384
155	0.01595809408
156	0.01592075209
157	0.01584219555
158	0.01568124875
159	0.01558515195
160	0.01546148846
161	0.01536931677
162	0.01528305133
163	0.01523847241
164	0.01517168648
165	0.01505508364
166	0.01494888757
167	0.01484494897
168	0.01476709223
169	0.01476708087
170	0.01465171002
171	0.01458094041
172	0.01452414507
173	0.0144617466
174	0.01437192268
175	0.01434050196
176	0.01422933099
177	0.01415982451
178	0.01409770923
179	0.01405919638
180	0.01400168399
181	0.01395355666
182	0.01387492434
183	0.01380805283
184	0.01372034514
185	0.01367251522
186	0.01357478703
187	0.01350538483
188	0.01346564136
189	0.01331289991
190	0.01324787382
191	0.01316224848
192	0.01305778127
193	0.01301021436
194	0.01296809667
195	0.01293469525
196	0.0128441128
197	0.01275096507
198	0.01270716942
199	0.01267366654
